Nome,Presenças no ano,Gênero,Total cota parlamentar usada (%),Cota disponivel gabinete
 PAULO ROBERTO FREIRE DA COSTA,76.0,M,100,11167559.0
 PAULO GUSTAVO GANIME ALVES TEIXEIRA,93.0,M,100,11167559.0
 PAULO JOSE CARLOS GUEDES,81.0,M,100,11167559.0
 PAULO ROBERTO SEVERO PIMENTA,86.0,M,100,11167559.0
 Paulo Sérgio Ramos Barboza,77.0,M,100,11167559.0
 LUIZ PAULO TEIXEIRA FERREIRA,86.0,M,100,11167559.0
 PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,71.0,M,100,11167559.0
 PEDRO AUGUSTO PALARETI,60.0,M,100,11167559.0
 PEDRO OLIVEIRA CUNHA LIMA,39.0,M,100,11167559.0
 PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,83.0,M,100,11167559.0
 PEDRO DEBONI LUPION MELLO,82.0,M,100,11167559.0
 PEDRO PAULO CARVALHO TEIXEIRA,65.0,M,100,11167559.0
 PEDRO FRANCISCO UCZAI,84.0,M,100,11167559.0
 PEDRO TORRES BRANDÃO VILELA,85.0,M,100,11167559.0
 PEDRO BANDARRA WESTPHALEN,93.0,M,100,11167559.0
 ANTÔNIO PINHEIRO NETO,92.0,M,100,11167559.0
 DARCI POMPEO DE MATTOS,91.0,M,100,11167559.0
 ALCIDES RIBEIRO FILHO,87.0,M,100,11167559.0
 ISRAEL MATOS BATISTA,89.0,M,100,11167559.0
 JOZIEL FERREIRA CARLOS,88.0,M,100,11167559.0
 RAFAEL HUETE DA MOTTA,82.0,M,100,11167559.0
 RAIMUNDO MAGALHÃES COSTA,79.0,M,100,11167559.0
 RAUL JEAN LOUIS HENRY JÚNIOR,86.0,M,100,11167559.0
 REGINALDO LÁZARO DE OLIVEIRA LOPES,79.0,M,100,11167559.0
 RENILDO VASCONCELOS CALHEIROS,75.0,M,100,11167559.0
 RICARDO JOSÉ MAGALHÃES BARROS,87.0,M,100,11167559.0
 RICARDO CORREA DE BARROS,83.0,M,100,11167559.0
 RICARDO ZANATTA GUIDI,94.0,M,100,11167559.0
 RICARDO IZAR JUNIOR,84.0,M,100,11167559.0
 RICARDO AUGUSTO MACHADO DA SILVA,90.0,M,100,11167559.0
 RICARDO TEOBALDO CAVALCANTI,67.0,M,100,11167559.0
 MARCOS ROBERIO RIBEIRO MONTEIRO,83.0,M,100,11167559.0
 BENEDITO ROBERTO ALVES FERREIRA,71.0,M,100,11167559.0
 ROBERTO ALVES DE LUCENA,92.0,M,100,11167559.0
 RODRIGO ANTONIO DE AGOSTINHO MENDONÇA,89.0,M,100,11167559.0
 RODRIGO COELHO,94.0,M,100,11167559.0
 RODRIGO BATISTA DE CASTRO,87.0,M,100,11167559.0
 RODRIGO FELINTO IBARRA EPITÁCIO MAIA,7.0,M,100,11167559.0
 ROGÉRIO CORREIA DE MOURA BAPTISTA,90.0,M,100,11167559.0
 ROGÉRIO MENDONÇA,86.0,M,100,11167559.0
 RONALDO CARLETTO,88.0,M,100,11167559.0
 RONALDO MANCHADO MARTINS,13.0,M,,
 VALDIR LUIZ ROSSONI,42.0,M,100,11167559.0
 RUBENS BUENO,93.0,M,100,11167559.0
 RUBENS OTONI GOMIDE,76.0,M,100,11167559.0
 RUBENS PEREIRA E SILVA JUNIOR,94.0,M,100,11167559.0
